Fedwire Funds Services - Monthly Statistics
                                                                                                                               Average                     Average
                                  Monthly           Value of           Monthly           Average                                daily                       daily
                   Transfers        volume           transfers           value          value per                             volume of                    value of
                   originated       growth          originated           growth          transfer        Number of            transfers¹                  transfers¹
Month               (number)      (percent)        ($ millions)        (percent)       ($ millions)         days               (number)                   ($ millions)
2026:July          20,059,153       (0.6)           109,971,722          1.9               5.48              23                 872,137                    4,781,379 
2026:June          20,190,387       11.3            107,877,913          11.0              5.34              21                 961,447                    5,137,043 
2026:May           18,142,605       (6.7)           97,214,957           (2.0)             5.36              20                 907,130                    4,860,748
2026:April         19,447,555       (2.5)           99,201,986           (5.0)             5.10              22                 883,980                    4,509,181
2026:March         19,942,494       19.4            104,474,296          18.8              5.24              22                 906,477                    4,748,832
2026:February      16,702,421       (4.2)           87,950,464           (3.9)             5.27              19                 879,075                    4,628,972
2026: January      17,443,482       (14.5)          91,502,089           (7.7)             5.25              20                 872,174                    4,575,104
2025: December     20,391,982       26.1            99,112,200           22.8              4.86              22                 926,908                    4,505,100
2025: November     16,172,391       (16.5)          80,708,656           (14.5)            4.99              18                 898,466                    4,483,814
2025: October      19,361,835        3.7            94,375,549           (0.2)             4.87              22                 880,083                    4,289,798
2025: September    18,677,280        7.1            94,587,587            2.4              5.06              21                 889,394                    4,504,171
2025: August       17,442,089       (5.5)           92,404,675           (8.1)             5.30              21                 830,576                    4,400,223
2025: July         18,463,837        1.2            100,582,763           3.9              5.45              22                 839,265                    4,571,944
2025: June         18,250,294        1.4            96,779,030           (0.9)             5.30              20                 912,515                    4,838,952
2025: May          17,998,209       (3.6)           97,650,961           (6.5)             5.43              21                 857,058                    4,650,046
2025: April        18,665,531        2.7            104,441,044           3.8              5.60              22                 848,433                    4,747,320
2025: March        18,177,619       13.1            100,643,790          13.9              5.54              21                 865,601                    4,792,561
2025: February     16,077,778       (8.7)           88,361,553           (10.4)            5.50              19                 846,199                    4,650,608
2025: January      17,617,855       (7.4)           98,619,459           (0.1)             5.60              21                 838,945                    4,696,165
2024: December     19,017,551       14.0            98,755,040           10.1              5.19              21                 905,598                    4,702,621
2024: November     16,688,373       (11.5)          89,701,927           (7.4)             5.38              19                 878,335                    4,721,154
2024: October      18,862,616        8.5            96,865,784            4.7              5.14              22                 857,392                    4,402,990
2024: September    17,385,127       (2.5)           92,541,830           (4.9)             5.32              20                 869,256                    4,627,092
2024: August       17,837,538       (2.4)           97,282,277            0.3              5.45              22                 810,797                    4,421,922
2024: July         18,267,566        8.5            97,026,282            9.5              5.31              22                 830,344                    4,410,286
2024: June         16,837,788       (6.5)           88,587,651           (9.5)             5.26              19                 886,199                    4,662,508
2024: May          18,000,232       (0.2)           97,908,393            0.3              5.44              22                 818,192                    4,450,381
2024: April        18,027,742        5.2            97,654,933            4.7              5.42              22                 819,443                    4,438,861
2024: March        17,142,758        9.7            93,268,283            3.9              5.44              21                 816,322                    4,441,347
2024: February     15,625,188       (3.7)           89,749,273           (4.6)             5.74              20                 781,259                    4,487,464
2024: January      16,224,356       (3.9)           94,078,011            3.2              5.80              21                 772,588                    4,479,905
2023: December     16,883,985        7.6            91,145,334            0.4              5.40              20                 844,199                    4,557,267
2023: November     15,694,260       (3.8)           90,777,861            1.1              5.78              21                 747,346                    4,322,755
2023: October      16,320,633        2.0            89,779,719            3.1              5.50              21                 777,173                    4,275,225
2023: September    16,000,720       (5.5)           87,057,779           (8.7)             5.44              20                 800,036                    4,352,889
2023: August       16,931,947        8.3            95,371,439           12.2              5.63              23                 736,172                    4,146,584
2023: July         15,632,111       (9.3)           84,997,154           (9.3)             5.44              20                 781,606                    4,249,858
2023: June         17,226,598        3.8            93,684,778           (1.1)             5.44              21                 820,314                    4,461,180
2023: May          16,600,077        9.3            94,734,252           14.7              5.71              22                 754,549                    4,306,102
2023: April        15,190,388       (14.5)          82,596,993           (21.8)            5.44              20                 759,519                    4,129,850
2023: March        17,771,097       25.2            105,629,132          27.3              5.94              23                 772,656                    4,592,571
2023: Feburary     14,195,136       (4.5)           82,958,177           (6.2)             5.84              19                 747,112                    4,366,220
2023: January      14,869,830       (11.2)          88,463,334           (5.2)             5.95              20                 743,492                    4,423,167
2022: December     16,744,829       10.7            93,334,748            5.2              5.57              21                 797,373                    4,444,512
2022: November     15,132,209       (2.2)           88,756,339            3.0              5.87              20                 756,610                    4,437,817
2022: October      15,472,064       (6.2)           86,180,940           (5.2)             5.57              20                 773,603                    4,309,047
2022: September    16,496,468       (1.8)           90,931,110           (2.9)             5.51              21                 785,546                    4,330,053
2022: August       16,799,841        7.5            93,656,881           12.2              5.57              23                 730,428                    4,072,038
